35.035// Avg:35.0175
35.9833119530643// Avg:34.5889124318383
36.0192952650174// Avg:34.5979654877445
36.0553145602824// Avg:34.6071312051819
36.0913698748427// Avg:34.6164076968673
35,7304561760943// Avg:34,6233272526389 /// Deviation: 1 // on 21:10:01
35.7661866322704// Avg:34.6303819401675
35.8019528189026// Avg:34.6375694915707
35.8377547717215// Avg:34.6448876944985
35.8735925264933// Avg:34.65233439045
35.9094661190197// Avg:34.6599074731522
35.9453755851388// Avg:34.6676048869964
35.9813209607239// Avg:34.6754246255305
35,6215077511167// Avg:34,681022750534 /// Deviation: 1 // on 21:10:23
35.6571292588678// Avg:34.6867645535242
35.6927863881266// Avg:34.6926477221476
35.7284791745148// Avg:34.6986699980335
35.7642076536893// Avg:34.7048291752338
35.799971861343// Avg:34.7111230987172
35.8357718332043// Avg:34.7175496629142
35.8716076050375// Avg:34.7241068103127
35.9074792126426// Avg:34.7307925300998
35.9433866918552// Avg:34.7376048568513
35.9793300785471// Avg:34.744541869263
36.0153094086256// Avg:34.7516016889261
36.0513247180342// Avg:34.7587824791422
36.0873760427523// Avg:34.7660824437774
36.123463418795// Avg:34.7734998261545
36.1595868822138// Avg:34.781032907981
36.195746469096// Avg:34.7886800083113
36.2319422155651// Avg:34.7964394825439
36.2681741577807// Avg:34.8043097214489
36.3044423319385// Avg:34.8122891502281
36.3407467742704// Avg:34.8203762276039
36.3770875210447// Avg:34.8285694449378
36.4134646085657// Avg:34.8368673253757
36.4498780731743// Avg:34.8452684230205
36.4863279512475// Avg:34.8537713221305
36.5228142791987// Avg:34.8623746363422
36.5593370934779// Avg:34.8710770079172
36.5958964305714// Avg:34.8798771070124
36.632492327002// Avg:34.8887736309717
36.669124819329// Avg:34.8977653036402
36.7057939441483// Avg:34.906850874698
36.7424997380924// Avg:34.916029119015
36.7792422378305// Avg:34.925298836024
36.8160214800684// Avg:34.9346588491133
36.8528375015484// Avg:34.9441080050367
36.88969033905// Avg:34.9536451733407
36.926580029389// Avg:34.9632692458092
36.9635066094184// Avg:34.9729791359238
37.0004701160278// Avg:34.9827737783398
37.0374705861439// Avg:34.9926521283773
37.07450805673// Avg:35.0026131615273
37.1115825647867// Avg:35.0126558729714
37.1486941473515// Avg:35.0227792771154
37.1858428414989// Avg:35.032982407136
37.2230286843404// Avg:35.0432643145408
37.2602517130247// Avg:35.0536240687393
37.2975119647377// Avg:35.0640607566276
37.3348094767025// Avg:35.0745734821836
37.3721442861792// Avg:35.0851613660729
37.4095164304654// Avg:35.0958235452674
37.4469259468958// Avg:35.1065591726721
37.4843728728427// Avg:35.1173674167638
37.5218572457156// Avg:35.1282474612387
37.5593791029613// Avg:35.1391985046698
37.5969384820642// Avg:35.1502197601739
37.6345354205463// Avg:35.1613104550862
37.6721699559668// Avg:35.1724698306457
37.7098421259228// Avg:35.1836971416868
37.7475519680487// Avg:35.1949916563403
37.7852995200168// Avg:35.2063526557424
